严重程度,缺陷 ID,文件路径,步骤数,缺陷名称,缺陷描述,结论状态,AI验证状态
低危,#854841c4-d98b-47a9-a044-19971e3c7913,pyart/correct/_unwrap_2d.c,0,Integer truncation of memoryview dimensions from Py_ssize_t to int when calling unwrap2D,生成的调用点把 `image.shape[1]` 与 `image.shape[0]`（均为 Py_ssize_t，在受支持的 64 位平台上为 64 位有符号整数）转换为外部 `unwrap2D` 原型（L3236）中声明的 `int` 参数，且未生成任何范围检查。若调用方传入某一维度超过 INT_MAX 的数组，该值会被截断（甚至变为负数），随后被 C 例程用作循环边界，导致遍历错误；与 VULN-001 缺失形状校验的问题叠加，还会造成越界访问。这是一个真实但适用范围较窄的缺陷：64 位平台上 double 数组维度超过 2^31 需要超过 16 GiB 连续内存；而在 32 位构建上该截断边界要小得多、更易触发。单独报告是因为它属于不同的缺陷类别（数值截断），修复方式也与形状校验不同。,仅初筛,未验证
中危,#c5ca908c-51fc-48b3-8417-adc1ea55940d,pyart/correct/_unwrap_1d.c,0,Out-of-bounds heap read/write on empty memoryview in Cython-generated unwrap_1d,Cython 生成的 `unwrap_1d`（源文件 `pyart/correct/_unwrap_1d.pyx:15`）在任何长度检查之前就无条件写入输出 memoryview 的第 0 个元素。由于模块使用 `boundscheck=False` 与 `wraparound=False` 编译，生成的第 18033 行 C 代码直接对 `__pyx_v_unwrapped_image.data[0]` 执行 `double*` 写入，并从 `__pyx_v_image.data[0]` 读取。函数体以及 Cython 参数解包包装函数都没有验证任一缓冲区至少含有一个元素。任何传入零长度数组的调用方（例如门数为 0 的雷达径向数据，或直接以 `np.empty(0)` 调用模块级导出的 `unwrap_1d`）都会触发对 `image` 的堆越界读取以及对 `unwrapped_image` 的堆越界写入。对于空 NumPy 数组，其 data 指针往往为 NULL 或指向已失效的哨兵分配，因此该写入会破坏堆元数据或导致解释器崩溃。该缺陷源于 `image[0]` / `unwrapped_image[0]` 访问与禁用边界检查的组合，属于项目自身生成的原生扩展中的真实内存安全缺陷，而非 Cython 运行时代码模板的问题。本模块其余生成函数已完整阅读，均为未经修改的 Cython 3.3.0 运行时模板代码且自带防护（详见 file_verdicts）。,已确认,已验证
中危,#1a7f212c-b7a9-44f7-92d6-19ab06e331c5,pyart/correct/unwrap_3d_ljmu.c,0,Unchecked calloc() results in 3D phase unwrapper cause NULL pointer dereference (DoS),unwrap3D() 使用 calloc() 分配三个工作缓冲区（extended_mask、voxel、edge），但在把这些指针传给 extend_mask()、initialiseVOXELs()、calculate_reliability() 及各 EDGE 构造函数之前，从不检查分配是否返回 NULL。申请的大小直接由调用方传入的体积维度决定：mask 为 volume_size 字节，voxel 数组为 volume_size * sizeof(VOXELM)（约 64 字节/元素），edge 数组为 3 * volume_size 条记录（约 24 字节/条）。因此一个较大但结构合法的雷达体所申请的内存是输入数组的数十倍；在内存受限的主机上 calloc 会失败并返回 NULL，紧接着的调用即解引用空指针（extend_mask 遍历 mask 缓冲区、initialiseVOXELs 写入 voxel_pointer->increment 等），导致进程崩溃。此外 volume_size 与 No_of_Edges_initially 均使用 32 位 int 计算，当 width*height*depth 超过约 2^31/(3*sizeof(VOXELM)) 个元素时发生整数溢出，缓冲区被欠分配而循环仍遍历整个体积，失败路径同样落入未检查的空指针解引用。任何对攻击者可控雷达体执行解包裹处理的流水线或服务都会遭受拒绝服务。,已确认,已验证
高危,#6ff3be95-2134-4a50-bc62-4fd6d3107d9a,pyart/io/_sigmetfile.pyx,0,Out-of-bounds heap write in _mask_gates_not_collected via negative nbins from Sigmet ray header,"`_mask_gates_not_collected` 使用 `@cython.boundscheck(False)` 编译，移除了 `mask[i, j] = 1` 写入的边界检查（生成代码已确认：pyart/io/_sigmetfile.c:17404 直接生成 `*__Pyx_BufPtrStrided2d(...) = 1`）。循环下界 `nbin` 直接取自 `nbins` int16 数组，而该数组由不可信的 Sigmet/IRIS 文件中每条射线头部的 `nbins` 字段填充。Cython 的 wraparound 处理对负索引只回绕一次（`index += shape[1]`）；因此当构造的文件提供的 `nbin` 绝对值超过 `full_nbins` 时（例如 `nbin = -32768`、`full_nbins = 100`），回绕后的索引 `-32768 + 100 = -32668` 仍为负数，写入落在数组数据指针的负偏移处。这是一次未检查的堆越界写，位于 NumPy mask 分配之外，可导致堆破坏乃至任意代码执行。该负值路径并非假设：第 337 行 `out[4] = -1`（合法的缺失射线处理）本就向该数组注入 `-1`，即正常文件也会走到负值分支；略大的负值即可越过越界阈值。任何使用 Py-ART 解析不可信 IRIS/Sigmet 文件的应用（如数据接入服务）都受影响。另需注意 PRODUCT_END 中的 `number_bins` 为 `SINT4`，而每条射线的 `nbins` 为 `SINT2`，两个维度可被攻击者独立控制。",已确认,已验证
中危,#7b4e3f54-8451-48f3-a393-9d0285ec2428,pyart/io/_sigmetfile.pyx,0,Out-of-bounds heap read in SigmetFile._get_ray via unmasked compressed-run length,`_get_ray` 通过裸 C 指针 `self._rbuf_p` 访问记录，该指针没有任何边界检查（仅有 `@cython.wraparound(False)`；裸指针运算不受 Cython 校验）。压缩块长度由文件可控的 int16 计算为 `words = compression_code + 32768`，尽管源码注释声称仅低 7 位表示长度，实际并未做掩码，故 `words` 最大可达 32767。在跨记录分支中，`remain = words - (3072 - self._rbuf_pos)` 因此最多可达约 32766。`_load_record()` 将 `_rbuf_p` 重新指向全新的 3072 元素记录缓冲区并把 `_rbuf_pos` 重置为 6 之后，第 363-364 行的循环以 `i` 最大到 `remain - 1` 解引用 `_rbuf_p[6 + i]`，远超 NumPy 缓冲区末尾。配套的写入 `out[first_end + i]` 是有边界检查的（已在 pyart/io/_sigmetfile.c:11875-11881 确认），因此超大写入会抛 IndexError 而不会破坏内存；但由于 `out` 的尺寸 `nbins + 6` 来自攻击者可控的 `product_end.number_bins`（SINT4），攻击者可将其放大到足以让写入仍处于界内，而读取则越过 3072 元素的记录缓冲区。由于 6144 字节记录的 NumPy 缓冲区紧邻其他堆分配，这会产生数十 KB 的堆越界读：可靠的崩溃（拒绝服务），并可能通过传播的雷达数据泄露相邻堆内存。,已确认,已验证
低危,#fae33477-4ffe-4c64-b2a0-a07b73e94af3,pyart/correct/src/dealias_fourdd.c,0,Negative ray index reaches array access in window/find_window,"find_window() 仅对 startray/endray 做一次加/减 numRays 的归一化。当 proximity 大于 numRays + ray_index（该调节参数由调用方提供且未做范围校验）时，调整后的 startray 仍为负值并被传入 window()；window() 的循环 `for (ray_index=startray; ray_index<numRays; ...)` 随后以负下标解引用 rv_sweep->ray[ray_index]，读取到射线指针数组之前的内存。注意 window() 对 firstbin/lastbin 做了 [0, numBins-1] 裁剪，却未对射线索引做同样的处理。",仅初筛,未验证
中危,#d2238d99-094a-4efa-9d34-c42f505a05b3,pyart/io/_sigmetfile.pyx,0,Unbounded memory allocation driven by untrusted Sigmet header dimensions (DoS),"`read_data` 直接从文件头部推导所有数组维度，且没有任何合理性上限：`nsweeps` 为有符号 16 位 `task_scan_info.number_sweeps`，`nbins` 为有符号 32 位 `product_end.number_bins`，`nrays` 为无符号 16 位 `ingest_configuration.number_rays_sweep`，而分配数组的个数等于四个数据类型掩码字中被置位的位数（最多 128）。因此乘积 `nsweeps × nrays × nbins × 4 字节 × ndata_types` 完全由攻击者控制，一个约 12 KB 的构造文件即可迫使程序尝试分配数 PB 的堆内存，抛出未处理的 `MemoryError`/`OverflowError`，在任何数据被校验之前就耗尽进程内存。对于雷达数据接入服务或任何读取不可信文件的流水线，这是一个成本极低且可靠的拒绝服务。下一层的 `_get_sweep:281` 存在同样的放大：`nrays = sum(number_rays_file_expected)`（每项为 SINT2）与 `nbins`（SINT4）在无任何校验的情况下决定 `np.ones((nrays, nbins + 6))` 的大小。",已确认,已验证
中危,#d7c30001-75f0-4955-bcd6-49b3ff7dedb9,pyart/io/mdv_common.py,0,Out-of-bounds read in MDV RLE8 decompression of untrusted file data,_decode_rle8 以精确的缓冲区末尾判断（`while data_ptr != len(data)`）遍历编码缓冲区，并在未做边界检查的情况下向前读取两个字节（data[data_ptr+1]、data[data_ptr+2]）。若 compr_data 的最后一个字节恰为转义 key，则 data_ptr+1/+2 将越界；又因游程分支使 data_ptr 每次前进 3 字节，data_ptr 也可能越过 len(data)，使 `!=` 循环条件永不成立，随后 data[data_ptr] 触发 IndexError。此外输出缓冲区大小取自“nbytes_coded”头字段，而实际写入量由编码流决定，二者无关，单字节写入 out[out_ptr] 可能越界。以上均可由畸形 MDV 文件触发，导致读取因未捕获异常（IndexError）而中止或静默截断，即解析器层面的拒绝服务。,已确认,已验证
中危,#d9214cd0-9e72-45f8-bc56-12321b07b537,pyart/io/remote.py,0,SSRF guard bypass via DNS hostname that resolves to internal IP,_validate_url 仅拒绝硬编码的一小组字面主机名与字面 IP 地址。任何 DNS 域名（例如 'internal-metadata.corp'、'localtest.me'，或 A 记录指向 127.0.0.1 / 169.254.169.254 / 10.0.0.0/8 的攻击者可控域名）都会使 ipaddress.ip_address() 抛出 ValueError 从而被放行。该校验在 DNS 解析之后、以及重定向跳转之间均未重新校验，因此文档中所称的“SSRF 防护”对典型的 DNS Rebinding / 私有 DNS 名称型 SSRF 毫无作用。运维人员复制站点模板，或任何 URL 不完全可信的代码路径，都可能访问仅限内网的服务。,已确认,已验证
高危,#e690e4d2-3d2a-4698-a606-78f4aea2df20,pyart/io/remote.py,0,SSRF guard explicitly disabled for MUSIC download URL,CmaMusicSource.fetch 向 _http_get 传入 allow_private=True，使 _validate_url 对任意 http/https URL 无条件返回 True（第 256-257 行）。该 URL 直接来自调用方提供的 key 字典（key['url']）或上游 MUSIC 服务响应字段。能影响该 URL 的攻击者（投毒的列表响应、明文传输的中间人攻击、或传入伪造 key 的调用方）可迫使库向任意内部端点发起 GET 请求，例如 http://127.0.0.1:6379/、http://169.254.169.254/latest/meta-data/ 或任意 RFC1918 主机。由于响应体会被返回并写入本地缓存，内部内容将暴露给调用方，使盲 SSRF 升级为数据窃取原语。,已确认,已验证
